name,group,typology,Lx,Ly,Lz,zc,m,V,rho,Axy,source
Wooden garden shed,F2,household equipment,2.65,2.02,2.01,0.00,197,10.76,18.3,5.35,https://www.leroymerlin.es/fp/16699060/caseta-de-madera-kluane-de-265x201x202-cm-y-4-32-m2?keyword=&ds_kid=92700068911156385&ds_ag=Categor%C3%ADas+-+Jardin&ds_c=LM_Empoderar_AO_SmartShopping_Jardin/Exterior_Generica_Google_Conversion_OMD&source=google&adtype=&gclid=CjwKCAjwp9qZBhBkEiwAsYFsb-klqc3smg2ikDeBlZ7E_6czD3qseNPR__b0uE6Z_cDwYu_zyE4PnxoCrDMQAvD_BwE&gclsrc=aw.ds
Wooden garden shed,F2,household equipment,1.82,1.49,2.00,0.00,102,5.42,18.8,2.71,https://www.leroymerlin.es/fp/15380995/caseta-de-madera-anetta-de-149x200x182-cm-y-2-71-m2?keyword=&ds_kid=92700068911156385&ds_ag=Categor%C3%ADas+-+Jardin&ds_c=LM_Empoderar_AO_SmartShopping_Jardin/Exterior_Generica_Google_Conversion_OMD&source=google&adtype=&gclid=CjwKCAjwp9qZBhBkEiwAsYFsb1NvQ7Y4zNuqNrCeVzdFiz2qczB7CGnYGsbzYZcdZnp7vB3qRfnUSRoCvGEQAvD_BwE&gclsrc=aw.ds
Wooden garden shed,F2,household equipment,2.28,2.00,2.02,0.00,195,9.21,21.1,4.56,https://www.leroymerlin.es/fp/80118204/caseta-de-madera-louis-de-228x200x202-cm-y-4-61-m2
Wooden garden shed,F2,household equipment,2.83,2.72,2.10,0.00,270,16.16,16.7,7.70,https://www.leroymerlin.es/fp/17441543/caseta-de-madera-mirama-de-283x210x272-cm-y-7-7-m2
2022 BMW K 1600 GTL,V1,GT motorbike,2.49,1.49,1.09,0.00,358,4.05,88.4,3.71,https://motorcyclesspecs.com/bmw-k-1600-gtl/
50cc Milan Scooter (Direct Bikes),V1,motorbike,1.62,1.04,0.63,0.00,155,1.061424,146.0,1.68,https://www.scooter.co.uk/50cc-scooter-milan.html
Bike,V1,Bike,1.79,1.14,0.50,0.00,19,1.0175275,18.7,2.04,*measured
Bike,V1,Bike,1.76,1.10,0.62,0.00,22,1.19077161,18.5,1.94,*measured
Bike,V1,Bike,1.45,1.13,0.58,0.00,14,0.952853,14.7,1.64,*measured
Bike,V1,Bike,1.69,1.06,0.45,0.00,15,0.802350696,18.7,1.79,*measured
BMW C 400 GT,V1,motorbike,2.21,1.44,0.84,0.00,214,2.65176795,80.7,3.18,https://www.bikedekho.com/bmw/c-400-gt/specifications
Electric Ride-Share Scooter,V1,E-scooter,2.00,1.40,0.70,0.00,55,1.96,28.1,2.80,https://www.loc.gov/item/global-legal-monitor/2019-06-25/germany-regulation-to-allow-use-of-e-scooters-on-public-roads-enacted/
Giant Talo 1 Bike,V1,Bike,2.01,1.12,0.56,0.00,13,1.268183376108,10.1,2.26,https://www.giant-bicycles.com/us/talon-1
Honda CB 750,V1,motorbike,1.46,1.12,0.89,0.00,218,1.450344,150.3,1.63,https://en.wikipedia.org/wiki/Honda_CB750
Honda VTX1300,V1,motorbike,2.58,1.13,0.96,0.00,305,2.781,109.7,2.90,https://bikeswiki.com/Honda_VTX1300
Suzuki Burgman 125cc,V1,urban motorbike,1.88,0.68,0.51,0.00,110,0.65,169.0,1.27,https://www.autox.com/new-bikes/suzuki/burgman-street-125/dimensions/
Trek Composite 2700,V1,bicycle,1.71,0.90,0.28,0.00,10,0.43,23.2,1.54,* measured
Vespa Piaggio S,V1,motorbike,1.77,1.14,0.69,0.00,105,1.392282,75.4,2.02,https://www.bikedekho.com/vespa/piaggio-vespa-s/specifications
Xiaomi Mi Scooter,V1,electric scooter,1.14,1.08,0.22,0.00,12,0.26,45.3,1.23,https://www.pccomponentes.com/xiaomi-mi-electric-scooter-essential-patinete-electrico-negro?gclid=CjwKCAjw4ayUBhA4EiwATWyBrhkdHKnM1bM9WbNMC8xC5EZISZna3FgkpuINOkESu3PXpFt9nColdBoCbPgQAvD_BwE
Xiaomi Mi Scooter 1S,V1,E-scooter,1.08,1.14,0.22,0.00,13,0.264708,47.2,1.23,https://www.mi.com/de/mi-electric-scooter-1S/specs/
Xiaomi Mi Scooter Pro2,V1,E-scooter,1.13,1.18,0.22,0.00,14,0.286681,49.5,1.33,https://www.mi.com/de/mi-electric-scooter-Pro2/specs/
Yamaha XMAX 125,V1,motorbike,2.19,1.42,0.78,0.00,175,2.396125625,73.0,3.09,https://www.yamaha-motor.eu/baltic/en/products/scooters/sport/xmax-125/techspecs/
Yamaha XV 1900,V1,motorbike,2.58,1.52,1.06,0.00,344,4.1236785,83.4,3.91,https://www.motorcyclespecs.co.za/model/yamaha/yamaha_xv1900_midnight%2006.htm
